id;author.userName;text;url;keyword;category;createdAt
1749849823551820144;elkandahari;Gazze açlıktan ölüyor.  Gazze açlıktan ölüyor. Gazze açlıktan ölüyor. Gazze açlıktan ölüyor. Gazze açlıktan ölüyor. Gazze açlıktan ölüyor. Gazze açlıktan ölüyor. Gazze açlıktan ölüyor. #GazaStarving;https://x.com/elkandahari/status/1749849823551820144;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Tue Jan 23 17:41:23 +0000 2024
1750197988830441722;Omar_Gaza;"I got 7 identical messages from friends in #Gaza: """"Get me out of here"""", they pled 💔 I feel helpless &amp; heartbroken that I can't do anything to help them or others get out or push the world to stop the #genocide in Gaza. This world is so cruel &amp; unfair.";https://x.com/Omar_Gaza/status/1750197988830441722;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Wed Jan 24 16:44:52 +0000 2024
1749350558664634549;Omar_Gaza;"I can't sleep because every morning brings bad news, we are losing people &amp; friends &amp; neighbours &amp; colleagues every damn day. And I'm #uprooted. I don't know what more needs to be for this #genocide nightmare to end. #Gaza";https://x.com/Omar_Gaza/status/1749350558664634549;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Mon Jan 22 08:37:29 +0000 2024
1749716987889021200;SihleTumani;MY GOD!!! 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 https://t.co/XbnXC1eZct;https://x.com/SihleTumani/status/1749716987889021200;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Tue Jan 23 08:53:32 +0000 2024
1750279202773803285;HalaAbouHassira;Le génocide continue, et les massacres du peuple palestinien par #Israel continuent dans la bande de #gaza. N’arrêtez pas d’en parler et n’arrêtez pas d’exposer le crime le plus ignoble de tous les temps.  #Gaza #GazaUnderAttack #Gaza_Genocide #EndIsraeliImpunity;https://x.com/HalaAbouHassira/status/1750279202773803285;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Wed Jan 24 22:07:35 +0000 2024
1741714335427354668;PalestineEmb;「存在こそが抵抗」 ガザの瓦礫の上から、2024年のメッセージ。 #IsraelTerorrist  #Ceasefire_In_Gaza   https://t.co/920o0W23TM;https://x.com/PalestineEmb/status/1741714335427354668;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Mon Jan 01 06:53:51 +0000 2024
1744393947961491515;yola__devam_;Gazze'de soykırım 94 gündür devam ediyor #FreePalestine #Gaza #TerroristIsrael https://t.co/jvfloRxiUc;https://x.com/yola__devam_/status/1744393947961491515;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Mon Jan 08 16:21:41 +0000 2024
1746292277855535542;GazaMartyrs;100 days of genocide, ethnic cleansing, and displacement. This day, like the first day, nothing has changed or altered. This genocide exposed the world's humanity sham. It stole much from me, leaving nothing. It forever took my loved ones, robbed me of dreams, and now I have neither home nor memories. My friends and relatives departed, so how can all my wounds heal?;https://x.com/GazaMartyrs/status/1746292277855535542;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Sat Jan 13 22:04:58 +0000 2024
1746452815227085262;Israel;100 days in darkness  100 days without their loved ones  100 days in unimaginable pain  Every day is an eternity.  #BringThemAllHomeNow 🎗️ https://t.co/PAvt9eEMru;https://x.com/Israel/status/1746452815227085262;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Sun Jan 14 08:42:53 +0000 2024
1746374771175043277;LDelsoll;100 days of terror, death and endless farewells 100 days of war against humanity  100 days of the #GazaGenocide 💔 100's of thousands of people are taking to the streets across the world to protest against the war in #Gaza The world is #Palestine - shame on its leaders https://t.co/bh4efXSItu;https://x.com/LDelsoll/status/1746374771175043277;(kill myself) (#gaza OR #palestine OR #gazagenocide OR #israel);suicide;Sun Jan 14 03:32:46 +0000 2024
